temp,mudweight,gel30min,tauy,m,K,fluidloss
57.00,10.10,31.00,3.21,0.63,0.31,7.90
45.00,9.90,34.00,3.41,0.64,0.39,6.10
49.00,9.90,39.00,2.02,0.61,0.45,6.50
49.00,10.10,44.00,2.22,0.60,0.49,7.00
45.00,9.70,25.00,1.74,0.65,0.28,6.50
56.00,10.70,29.00,2.62,0.71,0.17,7.00
56.00,10.70,27.00,2.48,0.70,0.20,7.40
59.00,10.75,34.00,2.72,0.67,0.28,6.40
54.00,10.75,27.00,2.35,0.67,0.25,6.40
41.00,11.60,9.00,1.33,0.77,0.10,7.60
45.00,11.60,12.00,1.40,0.66,0.29,5.60
52.00,11.60,49.00,2.83,0.63,0.43,5.80
50.00,11.50,57.00,2.93,0.63,0.39,6.20
34.00,9.00,13.00,1.03,0.57,0.47,6.90
52.00,9.70,34.00,2.20,0.54,0.71,7.60
53.00,9.80,33.00,1.52,0.54,0.61,8.00
43.00,9.80,33.00,1.50,0.60,0.38,7.60
43.00,9.90,34.00,1.62,0.62,0.33,7.80
47.00,10.20,22.00,1.43,0.67,0.23,7.00
51.00,10.50,30.00,2.26,0.65,0.28,7.60
54.00,10.70,88.00,3.40,0.61,0.43,7.80
53.00,10.60,98.00,6.37,0.65,0.29,8.90
50.90,10.30,39.00,7.65,0.73,0.17,7.70
54.70,10.40,24.00,4.14,0.67,0.26,7.30
48.10,10.20,20.00,3.25,0.62,0.30,7.50
32.00,9.00,55.00,5.97,0.66,0.23,6.40
34.00,9.30,5.00,0.66,0.67,0.15,6.80
40.00,9.60,29.00,0.40,0.67,0.22,6.00
43.00,10.10,58.00,1.21,0.60,0.55,5.20
47.00,10.10,58.00,0.59,0.56,0.71,5.20
46.00,10.20,58.00,0.68,0.57,0.68,5.20
45.00,10.00,39.00,0.97,0.62,0.37,5.40
52.00,9.10,32.00,0.36,0.68,0.21,6.70
52.00,9.10,45.00,1.79,0.59,0.38,6.60
53.00,9.20,41.00,1.63,0.62,0.34,6.40
62.00,9.10,38.00,1.47,0.60,0.39,6.30
47.00,8.90,9.00,0.31,0.52,0.53,9.10
45.00,8.80,9.00,0.55,0.58,0.39,8.20
45.00,8.90,14.00,1.16,0.61,0.33,7.00
48.00,8.80,13.00,1.02,0.59,0.38,7.40
55.00,9.80,29.00,1.11,0.62,0.34,8.20
56.00,9.90,26.00,0.38,0.59,0.42,8.30
57.00,9.90,35.00,0.69,0.58,0.51,8.20
57.00,10.00,35.00,1.26,0.58,0.48,8.20
56.00,9.80,36.00,1.72,0.53,0.55,8.10
59.00,9.80,35.00,1.23,0.50,0.77,8.30
60.00,9.80,30.00,1.60,0.52,0.59,8.30
42.00,8.60,7.00,0.44,0.46,0.73,11.20
43.00,8.60,7.00,0.21,0.44,0.86,10.60
45.00,8.60,7.00,1.20,0.49,0.59,10.00
45.00,8.60,7.00,0.15,0.42,1.03,10.30
51.00,10.10,34.00,2.11,0.57,0.54,8.00
53.00,10.20,25.00,1.94,0.61,0.40,7.60
51.00,10.10,24.00,1.90,0.57,0.61,7.50
45.00,9.60,39.00,2.30,0.64,0.35,6.40
47.00,10.00,45.00,2.15,0.62,0.41,7.20
50.00,10.10,50.00,2.41,0.62,0.41,7.50
47.00,9.80,57.00,3.95,0.63,0.42,7.60
54.00,10.75,27.00,2.35,0.67,0.25,6.40
50.00,11.50,70.00,3.54,0.64,0.36,6.20
49.00,11.60,73.00,2.87,0.63,0.42,6.20
50.00,11.50,58.00,2.09,0.63,0.34,6.00
51.00,11.50,75.00,2.76,0.64,0.29,7.20
34.00,9.00,14.00,1.52,0.59,0.47,6.40
36.00,9.00,13.00,1.21,0.67,0.25,6.40
37.00,9.00,23.00,1.34,0.58,0.53,6.20
36.00,9.00,16.00,1.37,0.57,0.53,6.10
43.00,9.80,34.00,2.09,0.61,0.43,7.90
41.00,9.90,33.00,1.62,0.62,0.34,7.60
43.00,10.00,34.00,1.74,0.65,0.28,7.10
51.00,10.20,65.00,1.88,0.65,0.26,8.00
50.00,10.30,74.00,2.29,0.64,0.28,8.80
52.00,10.00,52.00,1.37,0.65,0.26,7.70
51.00,10.10,47.00,1.42,0.66,0.23,8.10
49.30,10.20,29.00,5.42,0.70,0.16,9.20
48.00,10.30,31.00,3.89,0.58,0.47,8.00
49.00,10.30,29.00,3.71,0.57,0.54,7.20
52.60,10.30,33.00,7.92,0.78,0.10,8.00
37.00,10.10,9.00,1.70,0.63,0.30,5.80
41.00,10.20,12.00,2.09,0.63,0.34,5.60
44.00,10.20,24.00,3.18,0.57,0.61,5.00
47.00,10.20,22.00,2.43,0.58,0.51,5.00
40.00,9.60,29.00,0.40,0.67,0.22,6.00
45.00,10.10,69.00,1.06,0.60,0.52,5.40
46.00,10.20,74.00,0.27,0.58,0.62,5.20
45.00,10.20,56.00,0.17,0.59,0.48,5.60
44.00,10.15,53.00,0.14,0.58,0.51,5.40
52.00,9.20,45.00,2.05,0.66,0.26,6.20
58.00,9.20,51.00,1.77,0.60,0.46,6.10
61.00,9.20,52.00,2.15,0.61,0.40,5.80
61.00,9.20,53.00,1.98,0.62,0.40,5.80
56.00,10.00,32.00,1.11,0.62,0.34,8.40
58.00,10.00,46.00,1.20,0.58,0.51,8.50
55.00,10.00,54.00,1.88,0.55,0.64,8.80
57.00,10.00,35.00,1.27,0.58,0.48,8.20
57.00,9.70,30.00,1.42,0.49,0.72,8.30
30.00,8.60,5.00,0.08,0.61,0.16,7.60
35.00,9.00,16.00,1.27,0.60,0.31,7.40
47.00,10.10,27.00,1.67,0.55,0.71,7.60
52.00,10.25,32.00,2.86,0.55,0.82,7.00
52.00,10.10,23.00,2.13,0.58,0.61,6.50
51.00,10.10,21.00,1.51,0.54,0.78,6.90
50.00,9.80,57.00,4.32,0.66,0.34,7.60
50.00,10.00,30.00,2.20,0.65,0.30,6.70
50.00,9.80,34.00,2.67,0.65,0.31,6.90
50.00,9.80,43.00,4.50,0.65,0.30,7.30
54.00,10.75,27.00,2.35,0.67,0.25,6.40
51.00,11.50,81.00,2.76,0.64,0.29,7.50
52.00,11.45,56.00,1.75,0.66,0.29,6.40
48.00,11.60,68.00,1.73,0.64,0.29,6.80
49.00,11.70,63.00,1.89,0.67,0.23,7.10
35.00,9.00,14.00,1.59,0.59,0.44,6.20
34.00,9.00,11.00,1.62,0.58,0.44,6.20
51.00,10.10,63.00,1.71,0.62,0.33,8.00
53.00,10.20,70.00,2.29,0.64,0.28,7.80
53.00,10.00,55.00,1.77,0.62,0.30,8.10
52.00,10.10,67.00,2.99,0.66,0.21,8.50
50.10,10.20,54.00,9.57,0.75,0.13,8.60
51.00,10.30,38.00,5.04,0.61,0.39,8.00
56.00,10.40,57.00,9.81,0.64,0.26,8.40
44.00,10.30,30.00,3.09,0.63,0.42,5.10
43.00,10.30,29.00,2.46,0.55,0.71,5.00
46.00,10.40,46.00,2.41,0.56,0.64,5.40
40.00,10.20,78.00,1.57,0.58,0.54,5.80
54.00,9.30,65.00,5.45,0.70,0.22,5.90
60.00,9.30,44.00,1.69,0.60,0.41,6.10
58.00,9.30,41.00,1.36,0.58,0.44,6.10
62.00,9.30,44.00,3.67,0.67,0.22,6.30
59.00,9.70,30.00,0.14,0.46,0.86,8.90
60.00,9.80,26.00,0.80,0.48,0.78,9.00
60.00,9.90,25.00,0.02,0.43,1.20,9.00
44.00,9.00,16.00,1.15,0.61,0.33,6.70
45.00,9.00,18.00,1.44,0.59,0.42,5.30
50.00,9.00,22.00,0.75,0.56,0.57,5.70
47.00,8.80,16.00,0.60,0.39,2.05,9.00
47.00,8.80,15.00,0.17,0.37,2.47,8.80
47.00,9.00,15.00,0.00,0.37,2.48,8.90
47.00,9.00,15.00,0.00,0.37,2.60,8.90
50.00,10.10,19.00,1.62,0.54,0.75,6.70
51.00,10.15,19.00,1.16,0.55,0.71,6.50
54.00,10.75,27.00,2.35,0.67,0.25,6.40
49.00,11.60,64.00,1.93,0.67,0.22,7.30
50.00,11.60,73.00,2.15,0.63,0.32,7.30
51.00,11.60,76.00,2.50,0.68,0.21,7.50
49.00,11.70,77.00,2.35,0.66,0.26,7.40
36.00,9.00,12.00,1.75,0.60,0.38,6.20
36.00,9.00,14.00,1.09,0.57,0.54,5.90
39.00,9.00,14.00,1.26,0.58,0.48,5.90
38.00,9.10,13.00,1.68,0.61,0.39,6.00
52.00,10.10,66.00,3.05,0.68,0.20,8.30
54.00,10.20,57.00,2.44,0.66,0.23,7.90
55.00,10.20,49.00,3.78,0.71,0.13,8.40
53.00,10.10,54.00,3.87,0.73,0.11,9.10
44.00,10.50,49.00,3.32,0.59,0.54,5.70
49.00,10.40,50.00,2.38,0.54,0.75,5.40
47.00,10.20,32.00,2.25,0.56,0.60,5.40
46.00,10.40,35.00,2.37,0.58,0.53,5.60
40.00,10.20,78.00,1.57,0.58,0.54,5.80
62.00,9.30,45.00,2.70,0.66,0.23,6.40
54.00,9.30,44.00,1.94,0.57,0.44,6.50
58.00,9.30,41.00,1.50,0.57,0.41,6.10
63.00,9.30,42.00,2.56,0.65,0.27,6.30
61.00,9.80,25.00,0.00,0.45,0.93,9.20
59.00,9.70,21.00,0.00,0.47,0.79,8.70
50.00,9.10,29.00,0.00,0.50,0.94,5.10
52.00,9.10,32.00,0.00,0.51,0.93,5.30
47.00,8.90,15.00,0.00,0.38,2.20,9.00
54.00,10.00,14.00,0.00,0.53,0.78,6.50
51.00,10.20,15.00,0.00,0.50,1.06,6.30
50.00,10.10,18.00,2.45,0.58,0.58,6.60
54.00,10.55,36.00,2.21,0.70,0.15,9.50
51.00,10.60,70.00,3.08,0.65,0.21,9.80
50.00,10.40,62.00,2.71,0.70,0.15,9.20
50.00,11.60,68.00,2.49,0.68,0.21,8.00
50.00,11.70,48.00,1.88,0.66,0.24,6.90
51.00,11.60,38.00,2.06,0.69,0.18,7.60
50.00,11.70,47.00,3.07,0.63,0.38,6.70
39.00,9.10,12.00,1.47,0.58,0.41,6.20
42.00,9.10,14.00,1.04,0.56,0.58,6.00
42.00,9.10,14.00,1.84,0.59,0.45,6.00
52.00,9.10,14.00,1.77,0.58,0.48,6.20
56.00,10.40,57.00,9.81,0.64,0.26,8.40
50.00,10.40,43.00,1.81,0.55,0.68,5.80
51.00,10.40,39.00,2.18,0.57,0.60,5.60
48.00,10.40,42.00,2.55,0.57,0.58,5.60
45.00,10.40,40.00,1.97,0.56,0.61,5.50
40.00,10.20,78.00,1.57,0.58,0.54,5.80
60.00,9.70,25.00,0.38,0.50,0.69,9.60
63.00,9.80,28.00,0.80,0.55,0.47,9.70
44.00,9.10,16.00,1.42,0.64,0.22,5.10
47.00,9.20,18.00,1.48,0.66,0.21,5.70
50.00,9.20,28.00,0.41,0.53,0.66,4.80
51.00,9.30,34.00,1.58,0.55,0.58,4.90
53.00,8.60,12.00,0.00,0.36,1.97,9.30
50.00,8.60,13.00,0.00,0.36,2.04,9.20
50.00,8.80,14.00,0.00,0.36,2.26,9.20
51.00,8.70,14.00,0.00,0.33,2.88,9.50
51.00,10.20,18.00,2.02,0.50,1.13,6.30
52.00,10.25,16.00,1.98,0.55,0.78,6.10
52.00,10.20,15.00,1.49,0.53,0.89,6.00
50.00,10.30,19.00,2.74,0.52,1.01,6.00
50.00,10.40,61.00,2.21,0.69,0.15,9.00
53.00,10.40,42.00,0.00,0.28,2.69,8.80
53.00,10.40,60.00,2.66,0.72,0.15,7.30
58.00,10.40,58.00,2.49,0.69,0.20,7.00
50.00,11.65,55.00,2.86,0.65,0.27,7.00
49.00,11.70,46.00,2.74,0.63,0.31,6.70
42.00,9.10,21.00,1.74,0.57,0.50,6.40
46.00,9.10,18.00,1.47,0.56,0.50,6.40
38.00,9.20,21.00,2.05,0.58,0.55,6.00
56.00,10.40,57.00,9.81,0.64,0.26,8.40
44.00,10.50,50.00,2.70,0.59,0.51,6.00
46.00,10.40,39.00,2.32,0.56,0.57,5.90
46.00,10.40,41.00,2.06,0.56,0.58,6.00
44.00,10.50,40.00,2.11,0.57,0.54,5.80
40.00,9.40,39.00,0.42,0.75,0.08,9.40
40.00,10.20,78.00,1.64,0.58,0.53,5.80
59.00,9.50,37.00,2.35,0.65,0.25,6.20
61.00,9.50,44.00,3.42,0.67,0.23,6.00
67.00,9.60,38.00,2.05,0.59,0.38,6.00
65.00,9.60,33.00,4.19,0.95,0.03,6.10
63.00,9.80,28.00,0.80,0.55,0.47,9.70
52.00,9.30,28.00,0.05,0.54,0.54,4.90
52.00,9.30,30.00,1.19,0.60,0.32,4.80
52.00,9.40,31.00,0.96,0.58,0.41,5.00
55.00,9.40,34.00,2.10,0.72,0.15,5.00
50.00,8.80,15.00,0.03,0.35,2.64,9.50
53.00,8.80,15.00,0.33,0.37,2.27,9.20
52.00,8.80,15.00,0.00,0.35,2.84,9.30
51.00,8.90,17.00,0.00,0.35,2.85,9.40
20.00,10.20,16.00,2.47,0.53,1.02,6.10
51.00,10.30,25.00,3.22,0.51,1.14,6.00
53.00,10.40,75.00,3.04,0.67,0.21,7.80
57.00,10.40,66.00,3.04,0.66,0.20,8.00
56.00,10.40,73.00,3.46,0.68,0.21,6.60
54.00,10.40,65.00,3.05,0.68,0.20,7.60
32.00,11.50,20.00,0.63,0.66,0.30,6.20
40.00,9.20,18.00,1.53,0.57,0.58,5.70
44.00,9.20,16.00,1.78,0.58,0.48,5.90
46.00,9.20,17.00,1.88,0.59,0.45,5.80
44.00,9.20,15.00,1.77,0.58,0.48,5.80
56.00,10.40,57.00,9.81,0.64,0.26,8.40
45.00,10.50,45.00,2.28,0.58,0.48,5.90
46.00,10.40,42.00,1.90,0.54,0.65,6.00
48.00,10.40,42.00,2.50,0.56,0.61,6.00
43.00,9.50,48.00,0.05,0.70,0.15,9.50
41.00,9.60,34.00,0.11,0.71,0.14,8.20
42.00,9.60,15.00,0.26,0.71,0.11,7.60
66.00,9.60,38.00,5.42,0.82,0.06,6.60
65.00,9.60,39.00,2.52,0.60,0.38,6.30
68.00,9.60,39.00,3.15,0.62,0.33,6.10
66.00,9.70,38.00,5.92,0.72,0.16,6.30
53.00,9.50,35.00,1.27,0.60,0.31,4.90
54.00,9.40,19.00,0.73,0.58,0.34,4.60
54.00,9.40,23.00,0.44,0.50,0.69,4.90
55.00,9.60,34.00,1.38,0.55,0.47,5.00
51.00,10.30,25.00,3.22,0.51,1.14,6.00
54.00,10.45,63.00,3.60,0.68,0.19,8.00
56.00,10.40,65.00,3.18,0.69,0.17,8.20
60.00,10.40,68.00,4.75,0.71,0.15,8.20
58.00,10.40,67.00,4.46,0.63,0.26,8.60
31.00,11.10,18.00,0.73,0.68,0.23,7.40
35.00,11.10,22.00,0.11,0.48,1.12,6.90
40.00,11.10,21.00,1.26,0.45,1.35,7.10
40.00,9.10,15.00,1.90,0.62,0.41,5.80
46.00,9.10,13.00,1.78,0.58,0.48,6.10
47.00,9.20,21.00,1.88,0.59,0.45,6.00
47.00,9.10,19.00,1.77,0.58,0.48,6.00
56.00,10.40,57.00,9.81,0.64,0.26,8.40
48.00,10.40,42.00,2.50,0.56,0.61,6.00
47.00,9.65,13.00,0.26,0.69,0.12,7.40
48.00,9.70,31.00,0.12,0.68,0.15,8.00
48.00,9.70,34.00,0.16,0.68,0.14,8.60
49.00,9.70,38.00,1.23,0.70,0.13,9.20
33.00,8.90,50.00,2.59,0.76,0.11,8.80
39.00,9.00,54.00,11.59,0.81,0.06,8.80
37.00,9.10,26.00,1.08,0.88,0.03,9.40
43.00,9.15,40.00,2.16,0.65,0.17,8.80
63.00,9.60,39.00,6.34,0.75,0.12,6.30
68.00,9.60,42.00,5.05,0.67,0.22,6.40
68.00,9.70,44.00,5.09,0.65,0.22,6.70
66.00,9.70,45.00,6.58,0.76,0.11,6.60
59.00,9.60,36.00,0.80,0.55,0.51,5.50
56.00,9.60,35.00,1.38,0.55,0.47,4.80
50.00,8.80,15.00,0.01,0.36,2.53,9.30
49.00,8.50,11.00,0.01,0.37,1.94,10.80
51.00,10.30,25.00,0.01,0.42,2.28,6.00
43.00,10.80,17.00,0.33,0.45,1.31,6.90
45.00,10.90,17.00,0.51,0.45,1.14,7.30
44.00,10.80,14.00,0.00,0.46,1.10,6.90
48.00,9.20,21.00,1.90,0.62,0.41,6.20
51.00,9.20,17.00,1.78,0.58,0.48,6.20
50.00,9.30,21.00,1.88,0.59,0.45,6.00
44.00,9.50,26.00,1.77,0.58,0.48,5.50
43.00,9.80,44.00,1.10,0.67,0.18,8.80
42.00,9.70,29.00,0.02,0.63,0.20,8.20
47.00,9.70,44.00,1.10,0.65,0.19,8.60
41.00,9.20,34.00,1.78,0.70,0.12,8.00
42.00,9.30,38.00,1.62,0.67,0.18,7.60
42.00,9.30,40.00,1.16,0.65,0.22,7.60
44.00,9.50,50.00,1.59,0.71,0.16,7.80
66.00,9.70,42.00,5.73,0.71,0.15,6.20
72.00,9.60,44.00,5.65,0.64,0.27,6.10
72.00,9.60,44.00,5.19,0.64,0.25,6.10
70.00,9.70,38.00,5.76,0.72,0.14,6.20
58.00,9.60,39.00,1.23,0.55,0.54,5.10
56.00,9.60,30.00,0.77,0.54,0.68,4.30
58.00,9.60,31.00,0.10,0.51,0.80,4.50
51.00,9.80,29.00,1.37,0.59,0.45,4.40
63.00,10.60,69.00,6.96,0.74,0.09,8.60
64.00,10.70,72.00,7.77,0.78,0.07,8.40
50.00,10.70,11.00,0.00,0.48,0.93,6.70
53.00,10.70,10.00,0.00,0.52,0.62,6.80
50.00,10.75,17.00,0.00,0.52,0.83,6.40
48.00,10.70,19.00,0.00,0.54,0.79,6.30
42.00,9.20,18.00,1.95,0.62,0.38,5.60
42.00,9.30,19.00,2.11,0.59,0.52,5.60
43.00,9.40,20.00,2.01,0.58,0.57,5.60
44.00,9.40,19.00,2.37,0.62,0.42,5.60
48.90,9.70,11.00,1.68,0.80,0.09,7.50
53.00,9.70,19.00,2.50,0.50,0.77,7.60
48.00,9.80,36.00,7.07,0.55,0.53,7.80
48.20,9.40,18.00,3.44,0.57,0.44,7.60
47.00,9.70,42.00,1.24,0.68,0.14,9.00
44.00,9.70,36.00,0.17,0.67,0.14,8.60
44.00,9.70,39.00,0.07,0.64,0.18,8.60
46.00,9.75,36.00,0.81,0.71,0.10,9.40
44.00,9.50,53.00,1.89,0.67,0.24,7.40
44.00,9.60,45.00,1.12,0.67,0.22,7.30
43.00,9.60,40.00,0.81,0.65,0.26,7.00
44.00,9.50,30.00,0.91,0.65,0.23,7.40
70.00,9.60,31.00,5.50,0.78,0.08,6.40
73.00,9.60,40.00,5.55,0.65,0.22,6.50
72.00,9.60,44.00,5.44,0.68,0.17,6.10
48.00,9.80,28.00,0.86,0.59,0.45,4.80
65.00,10.80,71.00,8.37,0.86,0.04,9.00
49.00,10.80,18.00,0.00,0.59,0.61,6.40
50.00,10.90,18.00,0.00,0.60,0.56,6.00
48.00,10.90,19.00,0.00,0.61,0.56,6.00
43.00,9.35,19.00,1.73,0.61,0.47,5.60
44.00,9.40,18.00,2.06,0.60,0.45,5.80
44.00,9.40,17.00,2.00,0.59,0.48,5.80
43.00,9.50,14.00,2.21,0.66,0.29,5.80
52.80,9.40,19.00,3.76,0.61,0.39,7.20
54.00,9.60,20.00,2.96,0.56,0.53,7.40
51.00,9.40,15.00,0.81,0.57,0.47,6.80
55.00,9.50,19.00,1.22,0.58,0.48,6.70
43.00,10.10,55.00,5.01,0.60,0.41,7.80
49.00,9.70,44.00,1.78,0.71,0.12,8.50
43.00,9.75,36.00,0.17,0.67,0.14,8.80
46.00,9.75,36.00,0.63,0.65,0.17,8.60
44.00,9.45,31.00,1.27,0.64,0.28,6.80
34.00,8.80,6.00,0.71,0.70,0.12,7.00
75.00,9.70,44.00,6.88,0.73,0.12,6.20
78.00,9.60,45.00,5.40,0.58,0.39,6.80
52.00,9.70,26.00,1.15,0.61,0.33,4.80
53.00,9.70,30.00,0.75,0.58,0.48,4.70
52.00,9.70,27.00,0.63,0.55,0.54,4.60
53.00,9.80,28.00,0.28,0.58,0.48,4.10
64.00,10.80,68.00,7.67,0.88,0.03,8.20
71.00,10.70,72.00,7.96,0.79,0.09,6.80
66.00,10.70,63.00,7.41,0.75,0.10,6.80
74.00,10.80,65.00,8.49,0.78,0.09,7.30
48.00,10.90,21.00,0.00,0.61,0.54,6.20
49.00,10.80,12.00,0.00,0.56,0.67,6.30
46.00,9.50,17.00,1.95,0.62,0.38,5.80
44.00,9.50,18.00,1.85,0.60,0.45,5.80
45.00,9.60,18.00,2.40,0.62,0.41,5.90
48.00,9.50,29.00,2.28,0.63,0.43,6.30
52.40,9.60,17.00,1.52,0.59,0.47,6.90
51.80,9.60,18.00,2.26,0.61,0.38,6.70
52.00,9.70,23.00,1.07,0.53,0.68,7.30
53.40,9.70,25.00,5.51,0.65,0.29,7.80
44.00,9.45,31.00,1.27,0.64,0.28,6.80
35.00,9.00,9.00,0.59,0.66,0.31,5.70
35.00,9.00,8.00,0.58,0.67,0.30,5.80
36.00,9.20,7.00,0.95,0.70,0.20,5.60
54.00,9.80,29.00,1.51,0.61,0.39,3.80
54.00,9.90,38.00,0.89,0.54,0.83,3.90
51.00,10.00,35.00,1.06,0.58,0.54,3.60
71.00,10.60,43.00,6.02,0.82,0.06,7.80
47.00,9.70,28.00,2.23,0.62,0.46,6.10
59.00,9.25,13.00,0.07,0.54,0.58,6.60
55.00,9.70,23.00,1.79,0.57,0.57,7.30
54.00,9.70,21.00,0.52,0.62,0.35,7.00
57.00,9.80,26.00,0.73,0.59,0.54,6.20
56.00,9.80,28.00,1.65,0.58,0.60,6.40
41.00,9.20,9.00,0.59,0.66,0.31,5.70
48.00,9.70,33.00,7.32,0.75,0.13,6.30
72.00,9.70,39.00,3.42,0.55,0.48,6.10
78.00,9.70,44.00,6.17,0.65,0.26,6.00
75.00,9.60,37.00,6.75,0.78,0.07,6.50
51.00,10.00,35.00,1.06,0.58,0.54,3.60
39.00,9.50,19.00,0.91,0.61,0.40,7.30
47.00,9.40,17.00,1.14,0.64,0.31,6.40
44.00,9.80,9.00,1.41,0.73,0.08,8.90
45.00,9.80,17.00,1.82,0.63,0.27,7.20
47.00,9.90,20.00,1.63,0.62,0.34,7.80
52.00,9.70,33.00,3.80,0.73,0.11,9.50
53.00,9.80,61.00,7.64,0.82,0.05,10.00
50.00,9.80,49.00,6.98,0.77,0.09,8.70
52.00,9.80,36.00,5.36,0.76,0.10,8.60
41.00,9.20,9.00,0.58,0.66,0.31,5.70
67.00,9.50,33.00,6.27,0.67,0.22,6.30
70.00,9.20,29.00,2.31,0.57,0.47,5.50
71.00,9.10,26.00,0.96,0.55,0.62,5.60
68.00,9.10,22.00,0.78,0.60,0.45,5.70
51.00,10.00,35.00,1.06,0.58,0.54,3.60
43.00,9.50,26.00,1.07,0.63,0.34,7.10
46.00,9.60,43.00,1.34,0.64,0.33,6.60
44.00,9.60,39.00,1.34,0.70,0.23,6.40
52.00,9.50,34.00,1.14,0.64,0.31,6.40
48.00,10.00,29.00,2.07,0.64,0.34,7.60
46.00,10.00,29.00,2.46,0.62,0.38,7.50
46.00,10.00,31.00,2.30,0.61,0.44,7.30
46.00,10.00,35.00,2.25,0.61,0.47,7.50
42.00,12.10,45.00,10.17,0.79,0.05,14.00
49.00,12.00,43.00,8.47,0.69,0.11,12.80
67.00,9.10,25.00,0.91,0.61,0.40,5.00
69.00,9.00,26.00,0.91,0.56,0.61,5.20
51.00,10.00,35.00,1.06,0.58,0.54,3.60
47.00,9.60,39.00,1.07,0.63,0.34,6.20
43.00,9.70,29.00,1.07,0.63,0.34,6.30
48.00,10.00,29.00,2.07,0.64,0.34,7.60
49.00,10.00,40.00,2.46,0.62,0.38,8.00
48.00,10.00,45.00,2.30,0.61,0.44,7.70
46.00,10.00,58.00,2.25,0.61,0.47,9.00
52.00,12.00,49.00,13.34,0.55,0.33,12.80
50.00,11.90,45.00,9.34,0.61,0.25,13.60
50.00,12.00,41.00,2.67,0.71,0.15,10.10
64.00,9.00,26.00,1.54,0.62,0.35,5.90
68.00,9.00,20.00,1.09,0.57,0.54,6.00
51.00,10.00,35.00,1.06,0.58,0.54,3.60
43.00,9.70,31.00,1.47,0.69,0.23,6.40
42.00,9.70,27.00,1.68,0.76,0.12,6.30
43.00,9.70,15.00,1.05,0.68,0.19,7.50
44.00,9.60,19.00,1.04,0.60,0.45,6.00
48.00,9.90,51.00,2.50,0.62,0.37,7.90
50.00,10.00,55.00,2.93,0.60,0.42,7.80
48.00,10.00,44.00,2.48,0.61,0.39,7.60
48.00,9.90,39.00,1.30,0.57,0.47,7.60
51.00,12.00,32.00,1.51,0.68,0.20,7.80
52.00,12.00,35.00,2.73,0.67,0.29,6.60
52.00,12.00,33.00,2.19,0.64,0.32,6.80
53.00,12.10,34.00,2.51,0.63,0.38,6.00
52.00,9.80,27.00,4.25,0.70,0.15,9.30
54.00,9.90,23.00,2.25,0.70,0.13,9.40
52.00,9.95,26.00,3.14,0.67,0.18,9.60
37.00,9.20,8.00,1.63,0.72,0.15,6.10
40.00,9.20,14.00,2.43,0.70,0.20,6.00
39.00,9.30,16.00,0.28,0.59,0.62,5.10
41.00,9.20,18.00,0.60,0.61,0.49,5.20
45.00,9.00,8.00,0.47,0.66,0.20,5.40
50.00,9.00,12.00,0.90,0.63,0.33,5.00
51.00,9.00,15.00,0.64,0.62,0.36,5.10
44.00,9.60,21.00,0.82,0.59,0.44,5.90
48.00,9.80,42.00,2.01,0.60,0.38,8.00
56.00,12.00,35.00,2.51,0.63,0.38,6.70
48.00,12.10,38.00,2.15,0.62,0.41,6.70
47.00,12.10,35.00,2.50,0.63,0.38,6.60
43.00,9.20,13.00,2.02,0.71,0.19,5.80
41.00,9.40,13.00,2.02,0.65,0.35,5.50
51.00,9.20,34.00,0.74,0.57,0.65,5.30
51.00,9.20,21.00,1.34,0.60,0.45,5.20
52.00,9.30,20.00,1.31,0.59,0.47,5.10
42.00,9.50,16.00,1.27,0.64,0.28,6.50
43.00,10.20,15.00,1.18,0.64,0.29,6.80
50.00,10.60,22.00,1.17,0.62,0.40,7.30
48.00,9.80,81.00,4.39,0.66,0.25,8.60
47.00,9.80,37.00,2.09,0.59,0.38,8.40
46.00,9.80,38.00,2.66,0.60,0.35,7.90
47.00,9.90,40.00,2.76,0.64,0.29,8.00
47.00,12.10,34.00,2.52,0.64,0.36,6.80
50.00,12.10,38.00,5.62,0.68,0.26,7.20
52.00,9.50,24.00,2.01,0.64,0.36,5.50
49.00,11.20,27.00,1.34,0.64,0.33,6.50
48.00,12.00,79.00,3.03,0.63,0.68,5.00
69.00,9.90,53.00,6.06,0.75,0.11,8.40
50.00,9.80,40.00,3.39,0.62,0.26,8.40
53.00,12.10,48.00,4.95,0.69,0.23,7.20
52.00,12.10,45.00,3.77,0.52,0.73,8.00
51.00,12.00,38.00,2.25,0.48,0.99,7.70
53.00,9.45,57.00,4.41,0.72,0.21,7.70
55.00,9.50,70.00,2.07,0.65,0.33,7.50
53.00,9.65,33.00,1.79,0.61,0.44,7.60
51.00,9.60,47.00,4.68,0.74,0.15,7.80
42.00,9.10,12.00,2.55,0.73,0.17,5.90
41.00,9.20,13.00,2.48,0.71,0.19,5.70
40.00,9.20,13.00,2.21,0.67,0.28,5.70
46.00,9.20,14.00,2.17,0.67,0.29,5.50
52.00,9.50,21.00,1.49,0.63,0.38,5.50
53.00,9.50,34.00,2.32,0.61,0.45,5.40
54.00,9.60,43.00,1.58,0.56,0.74,5.70
52.00,12.60,90.00,3.59,0.66,0.66,4.70
51.00,12.60,92.00,3.38,0.62,0.79,4.80
52.00,12.70,90.00,3.42,0.61,0.81,4.70
52.00,12.40,57.00,2.62,0.64,0.47,5.50
49.00,9.80,53.00,4.42,0.64,0.25,8.80
49.00,9.90,52.00,5.94,0.70,0.16,8.80
